district,tahsil,gp_name,ps,gp,sample,Hperf_final,Hperf1_final,Hperf2_final,Hperf3_final,Hperf4_final,Hperf5_final,actionplan_nbprojects2009,actionplan_gpbudget2009,web_hh_employed2009,web_persondays_sc2009,web_persondays_st2009,web_persondays_total2009,web_persondays_women2009,web_hh_employed2010,web_persondays_sc2010,web_persondays_st2010,web_persondays_total2010,web_persondays_women2010,web_exp_unskilled2010,web_exp_skilled2010,web_exp_mat2010,web_exp_adm_tot2010,web_exp_tot2010,web_hh_employed2011,web_persondays_sc2011,web_persondays_st2011,web_persondays_total2011,web_persondays_women2011,web_authorisation2011,web_exp_unskilled2011,web_exp_skilled2011,web_exp_mat2011,web_exp_tax2011,web_exp_adm_tot2011,web_exp_tot2011,web_hh_employed2012,web_persondays_sc2012,web_persondays_st2012,web_persondays_total2012,web_persondays_women2012,web_authorisation2012,web_exp_unskilled2012,web_exp_skilled2012,web_exp_mat2012,web_exp_tax2012,web_exp_adm_tot2012,web_exp_tot2012,web_hh_employed2013,web_persondays_sc2013,web_persondays_st2013,web_persondays_total2013,web_persondays_women2013,web_authorisation2013,web_exp_unskilled2013,web_exp_skilled2013,web_exp_mat2013,web_exp_tax2013,web_exp_adm_tot2013,web_exp_tot2013,web_averagewage2009,web_averagewage2010,web_exp_labor2009,web_exp_material2009,web_exp_admin2009,web_exp_tot2009,web_frac_womendays2009,web_frac_scst2009,web_delay_total2009,web_delay_num_mrolls,web_delay_amtpaid,web_delay_perc,census_tot_pop,census_frac_scst,census_literacy,census_unemployment,census_agri,census_marginal
"Bharatpur","Bayana","KHAN KHERA","BAYANA","KHANKHEDA",0,5,3.21,44,51,19,38,3.713572,5.228431,124,820,0,5.053,2445,388,4369,4075.910112,11.834,5631,9.21464,.35245,4.232329,.1415567,9.56709,287,3733,3295.589744,8.121,4172,0,7.86,1.78,8.04,.1273846,.21951368,17.68,289,2720,3432.054762,8.01,3879,0,6.53,.34,3.58,.146875,.12094972,10.45,52,373,1111.341772,1.526,697,0,.62,.06,.44,.2792,.10882353,1.11,77.93,81.84,4.29,15.17,0,19.46,.483871,.1622798,3,14.3333,1.172,15.544,4614,.1850889,.4917642,.5138708,.8970129,.1792243
"Bharatpur","Bayana","KHERLI GADASIYA","BAYANA","KHEDLIGADASIYA",0,4,3.15,55,53,19,39,3.951244,5.768633,405,8051,0,12.957,5658,393,6225,60,10.033,4475,7.48276,.21913,1.23879,.1415567,8.94068,445,3523,116,8.324,3362,0,9.13,1.24,4.82,.1273846,.21951368,15.2,416,6206,118,14.27,7654,0,16.34,1.02,4.6,.146875,.12094972,21.96,145,972,59,2.373,1441,0,2.52,.19,3.827044,.2792,.10882353,2.71,72.68,74.95,12.09,5.62,0,17.71,.4366752,.621363,8,15,1.917333,12.446,5511,.3585556,.6191254,.531301,.9152149,.4576074
"Bharatpur","Bayana","KHOHRA","BAYANA","KHOHRA",0,5,3.32,61,45,17,38,3.78419,5.605986,306,2620,0,8.404,4910,165,1292,4075.910112,1.696,1334,1.5787,.12696,4.232329,.1415567,1.70566,131,1227,3295.589744,2.733,2409,0,1.75,.32,1.98,.1273846,.21951368,4.05,171,1655,3432.054762,3.456,2759,0,4.38,.94,5.47,.146875,.12094972,10.79,41,169,1111.341772,.499,310,0,.71,.05,.93,.2792,.10882353,1.68,91.71,94.93,6.76,1.02,0,7.78,.5842456,.3117563,3,4.66667,.527,12.57433,3631,.2302396,.5948774,.4882952,.8423036,.5204521
"Bharatpur","Bayana","KHOOT KHERA","BAYANA","KHUNTKHEDA",0,5,3.21,56,45,17,38,3.367296,5.390213,332,204,0,6.024,3522,220,1335,4075.910112,3.701,2550,2.8974,.25527,4.232329,.1415567,3.15267,321,1047,3295.589744,5.146,3363,0,5.2,1.52,6.88,.1273846,.21951368,13.61,250,4245,3432.054762,11.97,9104,0,13.08,.47,2.65,.146875,.12094972,16.21,88,814,1111.341772,2.066,1615,0,2.54,.08,3.827044,.2792,.10882353,2.62,64.79,78.29,3.88,5.24,0,9.12,.5846614,.0338645,6,6.33333,.8203333,7.289333,3779,.0711829,.4771104,.5287113,.9090399,.2964627
"Bharatpur","Bayana","LAHCHORA KALAN","BAYANA","LEHCHOURA KALAN",0,4,3.23,55,56,19,38,3.496508,5.021575,123,1282,63,2.731,1086,94,1485,4075.910112,3.176,1909,3.40673,.14184,4.232329,.1415567,3.54857,169,3002,3295.589744,7.392,4363,0,8.44,.57,6.38,.1273846,.21951368,15.39,156,2614,3432.054762,6.085,4409,0,5.08,.53,3.61,.03,.12094972,9.25,35,91,1111.341772,.429,334,0,.58,.02,3.827044,.2792,.10882353,.6,99.57,107.3,2.73,7.05,0,9.780001,.3976565,.4924936,7,6.66667,.6333333,8.506001,4262,.341389,.638198,.569451,.7171662,.6212534
"Bharatpur","Bayana","MAHMADPURA","BAYANA","MEHMATPURA",1,7,3.35,100,38,10,40,3.970292,5.812936,647,11391,0,30.691,23393,593,11430,46,29.622,24290,22.37029,.25768,4.232329,.1415567,22.62797,456,5160,22,12.307,10286,0,13.81,1.5,6.56,.1273846,.21951368,21.87,526,4818,57,16.629,13501,0,17.41,.86,20.77,.146875,.12094972,39.05,230,1766,13,3.228,2875,0,3.46,.52,3.27,.2792,.10882353,7.25,80.01,81.62,27,.99,0,27.99,.7622104,.3711511,20,22.3333,1.812667,9.396333,4109,.2652714,.5100998,.5453882,.8228052,.4004283
"Bharatpur","Bayana","MAHRAWAR","BAYANA","MEHRAWAR",1,2,2.8,0,95,45,34,3.583519,4.953006,95,380,0,.595,361,331,2182,4075.910112,8.007,5090,5.9005,.51621,2.08512,.1415567,8.50183,187,2197,3295.589744,4.587,2735,0,4.58,1.04,7.3,.01,.21951368,12.93,109,23,3432.054762,2.284,1024,0,2.01,.12,2.18,.146875,.12094972,4.32,21,1244.070981,1111.341772,.426,171,0,.45,.02,3.827044,.2792,.10882353,.47,69.49,74.13,0,0,0,0,.6067227,.6386555,5,3,.2543333,5.559,4260,.306338,.4969484,.5248826,.8567194,.4752964
"Bharatpur","Bayana","MILAKPUR","BAYANA","MILAKPUR",0,5,3.26,62,39,18,38,4.127134,5.138149,688,7534,9200,25.96,12687,322,3297,3235,8.774,5486,6.57041,.47822,4.232329,.1415567,7.04863,250,2837,2481,7.501,5219,0,7.84,1.7,9.64,.1273846,.21951368,19.19,271,2137,1524,4.756,3475,0,4.94,.22,1.14,.146875,.12094972,6.31,192,1736,1260,3.866,3168,0,4.47,.18,1.01,.2792,.10882353,5.66,67.25,76.24,18.79,9.44,0,28.23,.4887134,.6446071,9,2.66667,.1623333,2.847,5795,.6500431,.6315789,.6517687,.71556,.3681863
"Bharatpur","Bayana","NAROLI","BAYANA","NAROULI",1,1,3.15,100,86,25,43,4.29046,5.938327,213,4681,3966,11.532,7935,249,7573,431,11.483,8713,10.21977,.68918,4.232329,.1415567,10.90895,227,2447,37,4.862,3518,0,5.29,.74,4.96,.1273846,.21951368,10.99,207,6041,56,8.194,6091,0,9.2,.35,3.11,.03,.12094972,12.7,162,1622,1111.341772,2.193,1706,0,2.78,.1,3.827044,.2792,.10882353,2.88,90.06,96.77,10.81,3.98,0,14.79,.6880853,.7498266,6,7.33333,.9133334,9.926333,5652,.5208775,.5707714,.5408705,.7857418,.1822736
"Bharatpur","Bayana","NAWLI","BAYANA","NAVLI",1,4,3.25,100,57,20,37,3.555348,5.053056,86,1488,0,2.192,1202,116,2158,4075.910112,2.703,1660,1.50934,.28799,4.232329,.1415567,1.79733,63,944,3295.589744,1.23,859,0,1.52,.89,5.67,.1273846,.21951368,8.08,150,961,3432.054762,3.427,1193,0,3.97,.14,2.86,.146875,.12094972,6.97,0,1244.070981,1111.341772,4.122764706,2353.311663,0,4.135314,.2709792,3.827044,.2792,.10882353,6.0092332,51.59,60.57,2.1,1.2,0,3.3,.5483577,.6788321,4,8,.696,17.925,3738,.3135366,.5981808,.6744248,.8044372,.326212
